question,optionA,optionB,optionC,optionD,correct,explanation
Find the area of a circle of radius 10 cm. (Take π = 22/7),319.29,314.29,324.29,302.29,B,The correct answer is 314.29.
A rectangle has length 4 cm and width 14 cm. Find its perimeter.,42,36,32,26,B,The correct answer is 36.
A trader buys an item for ₦22 and sells it for ₦32. Find the profit.,10,9,14,12,A,The correct answer is 10.
Find sin 60°.,√3/2,1,0,√3,A,The correct answer is √3/2.
A trader buys an item for ₦42 and sells it for ₦61. Find the profit.,19,21,23,18,A,The correct answer is 19.
"Find the mean of the numbers [3, 3, 3, 29, 14].",7.4,10.4,12.4,14.4,B,The correct answer is 10.4.
A trader buys an item for ₦37 and sells it for ₦44. Find the profit.,11,9,6,7,D,The correct answer is 7.
Find sin 45°.,√3,√2/2,1,0,B,The correct answer is √2/2.
A trader buys an item for ₦45 and sells it for ₦54. Find the profit.,9,13,8,11,A,The correct answer is 9.
A trader buys an item for ₦37 and sells it for ₦49. Find the profit.,11,14,16,12,D,The correct answer is 12.
A rectangle has length 12 cm and width 10 cm. Find its perimeter.,34,40,44,50,C,The correct answer is 44.
Solve for x: 6x + 4 = 58,9,11,8,10,A,The correct answer is 9.
"If f(x) = 4x + 9, find f(4).",25,20,32,22,A,The correct answer is 25.
"If |A|=36, |B|=20, and |A ∩ B|=14, find |A ∪ B|.",47,38,52,42,D,The correct answer is 42.
"If f(x) = 6x + 2, find f(7).",39,51,44,41,C,The correct answer is 44.
A trader buys an item for ₦48 and sells it for ₦68. Find the profit.,24,22,19,20,D,The correct answer is 20.
A trader buys an item for ₦30 and sells it for ₦37. Find the profit.,11,6,7,9,C,The correct answer is 7.
"Find the mean of the numbers [11, 9, 15, 8, 9].",12.4,14.4,10.4,7.4,C,The correct answer is 10.4.
Find sin 30°.,0,1/2,√3,1,B,The correct answer is 1/2.
A rectangle has length 13 cm and width 8 cm. Find its perimeter.,42,32,48,38,A,The correct answer is 42.
"If |A|=29, |B|=21, and |A ∩ B|=14, find |A ∪ B|.",32,41,46,36,D,The correct answer is 36.
Solve for x: 8x + 11 = 19,1,0,3,2,A,The correct answer is 1.
A rectangle has length 10 cm and width 3 cm. Find its perimeter.,32,22,16,26,D,The correct answer is 26.
Find the area of a circle of radius 8 cm. (Take π = 22/7),201.14,211.14,189.14,206.14,A,The correct answer is 201.14.
"If f(x) = 6x + 4, find f(2).",16,13,11,23,A,The correct answer is 16.
"If |A|=20, |B|=26, and |A ∩ B|=9, find |A ∪ B|.",37,47,33,42,A,The correct answer is 37.
A trader buys an item for ₦39 and sells it for ₦56. Find the profit.,21,19,16,17,D,The correct answer is 17.
"If f(x) = 4x + 6, find f(2).",14,9,21,11,A,The correct answer is 14.
A trader buys an item for ₦21 and sells it for ₦27. Find the profit.,10,5,8,6,D,The correct answer is 6.
"If f(x) = 2x + 2, find f(10).",29,19,22,17,C,The correct answer is 22.
A trader buys an item for ₦44 and sells it for ₦51. Find the profit.,6,11,9,7,D,The correct answer is 7.
"Find the mean of the numbers [29, 11, 23, 28, 10].",20.2,24.2,17.2,22.2,A,The correct answer is 20.2.
Solve for x: 3x + 6 = 24,7,6,8,5,B,The correct answer is 6.
A rectangle has length 12 cm and width 6 cm. Find its perimeter.,32,26,42,36,D,The correct answer is 36.
A trader buys an item for ₦40 and sells it for ₦59. Find the profit.,21,23,19,18,C,The correct answer is 19.
A trader buys an item for ₦13 and sells it for ₦31. Find the profit.,18,22,20,17,A,The correct answer is 18.
"Find the mean of the numbers [11, 14, 17, 23, 11].",12.2,17.2,15.2,19.2,C,The correct answer is 15.2.
"If f(x) = 6x + 3, find f(7).",40,42,52,45,D,The correct answer is 45.
A trader buys an item for ₦47 and sells it for ₦55. Find the profit.,10,8,12,7,B,The correct answer is 8.
"Find the mean of the numbers [26, 1, 17, 12, 17].",11.6,14.6,18.6,16.6,B,The correct answer is 14.6.
A trader buys an item for ₦23 and sells it for ₦29. Find the profit.,6,8,10,5,A,The correct answer is 6.
A trader buys an item for ₦48 and sells it for ₦54. Find the profit.,10,6,8,5,B,The correct answer is 6.
"Find the mean of the numbers [6, 5, 28, 18, 23].",18.0,13.0,16.0,20.0,C,The correct answer is 16.0.
A trader buys an item for ₦30 and sells it for ₦41. Find the profit.,13,15,10,11,D,The correct answer is 11.
A trader buys an item for ₦23 and sells it for ₦37. Find the profit.,18,13,16,14,D,The correct answer is 14.
"Find the mean of the numbers [4, 18, 15, 24, 26].",14.399999999999999,19.4,21.4,17.4,D,The correct answer is 17.4.
"If f(x) = 5x + 1, find f(4).",21,16,18,28,A,The correct answer is 21.
A rectangle has length 14 cm and width 11 cm. Find its perimeter.,46,56,40,50,D,The correct answer is 50.
"If |A|=35, |B|=23, and |A ∩ B|=12, find |A ∪ B|.",42,56,51,46,D,The correct answer is 46.
A trader buys an item for ₦20 and sells it for ₦25. Find the profit.,5,7,9,4,A,The correct answer is 5.
"If f(x) = 3x + 5, find f(3).",9,11,14,21,C,The correct answer is 14.
A trader buys an item for ₦11 and sells it for ₦22. Find the profit.,11,15,13,10,A,The correct answer is 11.
Find the area of a circle of radius 10 cm. (Take π = 22/7),314.29,319.29,324.29,302.29,A,The correct answer is 314.29.
Find the area of a circle of radius 7 cm. (Take π = 22/7),159.0,154.0,142.0,164.0,B,The correct answer is 154.0.
A trader buys an item for ₦27 and sells it for ₦38. Find the profit.,13,10,15,11,D,The correct answer is 11.
A trader buys an item for ₦49 and sells it for ₦68. Find the profit.,18,21,23,19,D,The correct answer is 19.
"If f(x) = 3x + 4, find f(10).",34,41,31,29,A,The correct answer is 34.
A trader buys an item for ₦31 and sells it for ₦38. Find the profit.,7,6,9,11,A,The correct answer is 7.
A trader buys an item for ₦49 and sells it for ₦55. Find the profit.,10,6,8,5,B,The correct answer is 6.
A trader buys an item for ₦16 and sells it for ₦31. Find the profit.,19,15,17,14,B,The correct answer is 15.
A trader buys an item for ₦44 and sells it for ₦50. Find the profit.,5,10,8,6,D,The correct answer is 6.
A trader buys an item for ₦10 and sells it for ₦29. Find the profit.,21,18,23,19,D,The correct answer is 19.
Solve for x: 4x + 10 = 42,9,7,10,8,D,The correct answer is 8.
"If f(x) = 6x + 7, find f(4).",28,38,26,31,D,The correct answer is 31.
"If |A|=38, |B|=16, and |A ∩ B|=11, find |A ∪ B|.",43,39,53,48,A,The correct answer is 43.
A trader buys an item for ₦15 and sells it for ₦34. Find the profit.,23,18,21,19,D,The correct answer is 19.
"If f(x) = 3x + 7, find f(6).",25,32,20,22,A,The correct answer is 25.
A trader buys an item for ₦43 and sells it for ₦61. Find the profit.,18,17,22,20,A,The correct answer is 18.
A trader buys an item for ₦30 and sells it for ₦37. Find the profit.,7,6,11,9,A,The correct answer is 7.
A trader buys an item for ₦32 and sells it for ₦46. Find the profit.,13,14,18,16,B,The correct answer is 14.
"If |A|=33, |B|=15, and |A ∩ B|=14, find |A ∪ B|.",39,44,34,30,C,The correct answer is 34.
Solve for x: 4x + 8 = 36,8,9,6,7,D,The correct answer is 7.
Solve for x: 12x + 12 = 36,2,1,4,3,A,The correct answer is 2.
A trader buys an item for ₦22 and sells it for ₦34. Find the profit.,14,12,11,16,B,The correct answer is 12.
Solve for x: 4x + 9 = 45,9,11,10,8,A,The correct answer is 9.
A trader buys an item for ₦48 and sells it for ₦60. Find the profit.,16,11,12,14,C,The correct answer is 12.
A trader buys an item for ₦44 and sells it for ₦57. Find the profit.,17,13,12,15,B,The correct answer is 13.
A trader buys an item for ₦23 and sells it for ₦41. Find the profit.,17,18,22,20,B,The correct answer is 18.
A trader buys an item for ₦42 and sells it for ₦57. Find the profit.,15,17,19,14,A,The correct answer is 15.
Solve for x: 8x + 3 = 35,4,3,6,5,A,The correct answer is 4.
A trader buys an item for ₦47 and sells it for ₦55. Find the profit.,10,8,12,7,B,The correct answer is 8.
Find sin 60°.,0,1,√3/2,√3,C,The correct answer is √3/2.
"If |A|=36, |B|=22, and |A ∩ B|=9, find |A ∪ B|.",49,54,59,45,A,The correct answer is 49.
Solve for x: 7x + 6 = 41,5,4,7,6,A,The correct answer is 5.
"Find the mean of the numbers [4, 14, 10, 8, 27].",9.6,14.6,16.6,12.6,D,The correct answer is 12.6.
Find the area of a circle of radius 5 cm. (Take π = 22/7),78.57,66.57,88.57,83.57,A,The correct answer is 78.57.
A trader buys an item for ₦11 and sells it for ₦21. Find the profit.,9,10,14,12,B,The correct answer is 10.
A trader buys an item for ₦14 and sells it for ₦33. Find the profit.,21,19,18,23,B,The correct answer is 19.
Find sin 45°.,1,√2/2,√3,0,B,The correct answer is √2/2.
Find sin 60°.,√3,0,√3/2,1,C,The correct answer is √3/2.
A trader buys an item for ₦37 and sells it for ₦55. Find the profit.,17,20,22,18,D,The correct answer is 18.
A trader buys an item for ₦38 and sells it for ₦57. Find the profit.,23,18,19,21,C,The correct answer is 19.
Find sin 60°.,√3/2,1,√3,0,A,The correct answer is √3/2.
A trader buys an item for ₦31 and sells it for ₦45. Find the profit.,16,18,14,13,C,The correct answer is 14.
A trader buys an item for ₦28 and sells it for ₦34. Find the profit.,8,10,6,5,C,The correct answer is 6.
"Find the mean of the numbers [22, 2, 28, 15, 19].",19.2,14.2,17.2,21.2,C,The correct answer is 17.2.
Find sin 60°.,0,√3,√3/2,1,C,The correct answer is √3/2.
A rectangle has length 15 cm and width 14 cm. Find its perimeter.,64,48,58,54,C,The correct answer is 58.
Find sin 60°.,√3,1,√3/2,0,C,The correct answer is √3/2.
Find the area of a circle of radius 3 cm. (Take π = 22/7),38.29,16.29,28.29,33.29,C,The correct answer is 28.29.
A trader buys an item for ₦12 and sells it for ₦27. Find the profit.,15,14,17,19,A,The correct answer is 15.
A trader buys an item for ₦18 and sells it for ₦31. Find the profit.,12,17,15,13,D,The correct answer is 13.
Find the area of a circle of radius 9 cm. (Take π = 22/7),264.57,242.57,259.57,254.57,D,The correct answer is 254.57.
"If |A|=30, |B|=19, and |A ∩ B|=12, find |A ∪ B|.",47,37,33,42,B,The correct answer is 37.
"Find the mean of the numbers [20, 17, 10, 24, 15].",21.2,17.2,19.2,14.2,B,The correct answer is 17.2.
"If |A|=24, |B|=19, and |A ∩ B|=7, find |A ∪ B|.",41,46,36,32,C,The correct answer is 36.
A trader buys an item for ₦41 and sells it for ₦55. Find the profit.,16,18,13,14,D,The correct answer is 14.
A trader buys an item for ₦17 and sells it for ₦35. Find the profit.,17,18,22,20,B,The correct answer is 18.
"Find the mean of the numbers [7, 21, 30, 23, 10].",18.2,20.2,22.2,15.2,A,The correct answer is 18.2.
A trader buys an item for ₦39 and sells it for ₦45. Find the profit.,10,8,6,5,C,The correct answer is 6.
Find the area of a circle of radius 5 cm. (Take π = 22/7),78.57,83.57,66.57,88.57,A,The correct answer is 78.57.
"If f(x) = 5x + 2, find f(8).",37,49,39,42,D,The correct answer is 42.
A trader buys an item for ₦33 and sells it for ₦49. Find the profit.,15,16,18,20,B,The correct answer is 16.
A rectangle has length 5 cm and width 11 cm. Find its perimeter.,38,28,22,32,D,The correct answer is 32.
"Find the mean of the numbers [25, 17, 13, 9, 28].",22.4,20.4,18.4,15.399999999999999,C,The correct answer is 18.4.
"If |A|=34, |B|=29, and |A ∩ B|=5, find |A ∪ B|.",58,63,54,68,A,The correct answer is 58.
A rectangle has length 8 cm and width 13 cm. Find its perimeter.,42,32,38,48,A,The correct answer is 42.
Find sin 30°.,1,√3,1/2,0,C,The correct answer is 1/2.
"If |A|=21, |B|=19, and |A ∩ B|=12, find |A ∪ B|.",33,24,28,38,C,The correct answer is 28.
A trader buys an item for ₦41 and sells it for ₦47. Find the profit.,6,5,8,10,A,The correct answer is 6.
A trader buys an item for ₦38 and sells it for ₦56. Find the profit.,17,20,18,22,C,The correct answer is 18.
"If f(x) = 3x + 9, find f(4).",21,28,18,16,A,The correct answer is 21.
"If f(x) = 2x + 5, find f(2).",16,6,4,9,D,The correct answer is 9.
A rectangle has length 4 cm and width 11 cm. Find its perimeter.,36,20,26,30,D,The correct answer is 30.
"Find the mean of the numbers [3, 10, 28, 18, 27].",17.2,14.2,21.2,19.2,A,The correct answer is 17.2.
A trader buys an item for ₦31 and sells it for ₦51. Find the profit.,22,24,20,19,C,The correct answer is 20.
Find sin 30°.,1/2,√3,1,0,A,The correct answer is 1/2.
"If f(x) = 4x + 9, find f(3).",16,18,28,21,D,The correct answer is 21.
A trader buys an item for ₦24 and sells it for ₦31. Find the profit.,6,7,11,9,B,The correct answer is 7.
Find the area of a circle of radius 7 cm. (Take π = 22/7),142.0,164.0,154.0,159.0,C,The correct answer is 154.0.
Find sin 30°.,1,1/2,√3,0,B,The correct answer is 1/2.
Find sin 45°.,0,√2/2,1,√3,B,The correct answer is √2/2.
Solve for x: 10x + 9 = 69,7,6,5,8,B,The correct answer is 6.
"If |A|=34, |B|=21, and |A ∩ B|=8, find |A ∪ B|.",47,43,52,57,A,The correct answer is 47.
"Find the mean of the numbers [22, 6, 18, 2, 6].",7.800000000000001,14.8,10.8,12.8,C,The correct answer is 10.8.
Find the area of a circle of radius 4 cm. (Take π = 22/7),60.29,38.29,50.29,55.29,C,The correct answer is 50.29.
Solve for x: 4x + 10 = 46,11,9,8,10,B,The correct answer is 9.
"If f(x) = 6x + 5, find f(2).",14,24,17,12,C,The correct answer is 17.
"If f(x) = 6x + 9, find f(8).",64,54,52,57,D,The correct answer is 57.
"If |A|=35, |B|=23, and |A ∩ B|=11, find |A ∪ B|.",43,47,52,57,B,The correct answer is 47.
"If |A|=24, |B|=27, and |A ∩ B|=5, find |A ∪ B|.",42,51,46,56,C,The correct answer is 46.
Find sin 45°.,√2/2,1,√3,0,A,The correct answer is √2/2.
Solve for x: 3x + 5 = 20,4,5,6,7,B,The correct answer is 5.
A trader buys an item for ₦19 and sells it for ₦31. Find the profit.,11,16,14,12,D,The correct answer is 12.
"If f(x) = 3x + 6, find f(1).",4,6,16,9,D,The correct answer is 9.
A trader buys an item for ₦18 and sells it for ₦27. Find the profit.,13,8,9,11,C,The correct answer is 9.
A trader buys an item for ₦12 and sells it for ₦17. Find the profit.,7,4,5,9,C,The correct answer is 5.
"If f(x) = 3x + 5, find f(10).",32,30,35,42,C,The correct answer is 35.
Solve for x: 12x + 6 = 102,10,9,8,7,C,The correct answer is 8.
"If |A|=20, |B|=17, and |A ∩ B|=10, find |A ∪ B|.",23,37,32,27,D,The correct answer is 27.
"If |A|=36, |B|=25, and |A ∩ B|=5, find |A ∪ B|.",56,61,52,66,A,The correct answer is 56.
A trader buys an item for ₦37 and sells it for ₦42. Find the profit.,5,4,7,9,A,The correct answer is 5.
A trader buys an item for ₦16 and sells it for ₦26. Find the profit.,12,14,10,9,C,The correct answer is 10.
Solve for x: 6x + 3 = 27,6,3,4,5,C,The correct answer is 4.
A trader buys an item for ₦39 and sells it for ₦49. Find the profit.,10,12,9,14,A,The correct answer is 10.
A trader buys an item for ₦49 and sells it for ₦66. Find the profit.,19,16,17,21,C,The correct answer is 17.
"If |A|=23, |B|=26, and |A ∩ B|=12, find |A ∪ B|.",33,47,37,42,C,The correct answer is 37.
Solve for x: 3x + 6 = 33,11,10,9,8,C,The correct answer is 9.
"Find the mean of the numbers [21, 10, 23, 11, 23].",17.6,19.6,21.6,14.600000000000001,A,The correct answer is 17.6.
A trader buys an item for ₦33 and sells it for ₦45. Find the profit.,14,16,12,11,C,The correct answer is 12.
"Find the mean of the numbers [30, 6, 18, 6, 11].",14.2,18.2,16.2,11.2,A,The correct answer is 14.2.
Solve for x: 3x + 4 = 28,10,8,9,7,B,The correct answer is 8.
A trader buys an item for ₦23 and sells it for ₦43. Find the profit.,22,24,19,20,D,The correct answer is 20.
A trader buys an item for ₦14 and sells it for ₦25. Find the profit.,11,15,13,10,A,The correct answer is 11.
Solve for x: 8x + 11 = 27,3,4,1,2,D,The correct answer is 2.
Solve for x: 3x + 12 = 27,6,5,4,7,B,The correct answer is 5.
A rectangle has length 6 cm and width 9 cm. Find its perimeter.,30,20,36,26,A,The correct answer is 30.
"Find the mean of the numbers [30, 15, 7, 26, 16].",18.8,22.8,15.8,20.8,A,The correct answer is 18.8.
A rectangle has length 6 cm and width 15 cm. Find its perimeter.,42,32,38,48,A,The correct answer is 42.
Find the area of a circle of radius 6 cm. (Take π = 22/7),118.14,101.14,123.14,113.14,D,The correct answer is 113.14.
"If f(x) = 4x + 9, find f(8).",48,38,36,41,D,The correct answer is 41.
A trader buys an item for ₦21 and sells it for ₦37. Find the profit.,18,15,16,20,C,The correct answer is 16.
A trader buys an item for ₦13 and sells it for ₦25. Find the profit.,16,12,14,11,B,The correct answer is 12.
A rectangle has length 12 cm and width 13 cm. Find its perimeter.,40,46,56,50,D,The correct answer is 50.
Solve for x: 4x + 2 = 26,8,7,5,6,D,The correct answer is 6.
"Find the mean of the numbers [22, 1, 26, 10, 17].",17.2,19.2,12.2,15.2,D,The correct answer is 15.2.
A trader buys an item for ₦49 and sells it for ₦64. Find the profit.,17,15,14,19,B,The correct answer is 15.
"If |A|=34, |B|=16, and |A ∩ B|=8, find |A ∪ B|.",42,47,38,52,A,The correct answer is 42.
A trader buys an item for ₦12 and sells it for ₦32. Find the profit.,24,19,22,20,D,The correct answer is 20.
Solve for x: 5x + 10 = 50,8,10,9,7,A,The correct answer is 8.
"Find the mean of the numbers [9, 12, 3, 17, 22].",12.6,16.6,9.6,14.6,A,The correct answer is 12.6.
A trader buys an item for ₦34 and sells it for ₦47. Find the profit.,15,13,17,12,B,The correct answer is 13.
A trader buys an item for ₦25 and sells it for ₦41. Find the profit.,18,16,20,15,B,The correct answer is 16.
Find sin 60°.,√3/2,1,√3,0,A,The correct answer is √3/2.
A trader buys an item for ₦41 and sells it for ₦58. Find the profit.,21,19,16,17,D,The correct answer is 17.
Find the area of a circle of radius 3 cm. (Take π = 22/7),38.29,28.29,33.29,16.29,B,The correct answer is 28.29.
Find sin 60°.,0,√3/2,1,√3,B,The correct answer is √3/2.
Find sin 60°.,√3,√3/2,1,0,B,The correct answer is √3/2.
"If |A|=40, |B|=26, and |A ∩ B|=9, find |A ∪ B|.",62,57,67,53,B,The correct answer is 57.
Find the area of a circle of radius 6 cm. (Take π = 22/7),101.14,118.14,123.14,113.14,D,The correct answer is 113.14.
A trader buys an item for ₦28 and sells it for ₦35. Find the profit.,11,6,9,7,D,The correct answer is 7.
"If f(x) = 5x + 8, find f(3).",20,30,23,18,C,The correct answer is 23.
Solve for x: 7x + 2 = 44,8,7,6,5,C,The correct answer is 6.
Find sin 60°.,√3,1,0,√3/2,D,The correct answer is √3/2.
Find sin 45°.,0,1,√3,√2/2,D,The correct answer is √2/2.
"Find the mean of the numbers [19, 12, 9, 18, 8].",10.2,17.2,13.2,15.2,C,The correct answer is 13.2.
A trader buys an item for ₦20 and sells it for ₦37. Find the profit.,17,16,21,19,A,The correct answer is 17.
A trader buys an item for ₦37 and sells it for ₦43. Find the profit.,5,6,8,10,B,The correct answer is 6.
Find sin 30°.,√3,1/2,1,0,B,The correct answer is 1/2.
A trader buys an item for ₦15 and sells it for ₦20. Find the profit.,4,9,7,5,D,The correct answer is 5.
A trader buys an item for ₦16 and sells it for ₦33. Find the profit.,17,21,19,16,A,The correct answer is 17.
"If |A|=35, |B|=20, and |A ∩ B|=15, find |A ∪ B|.",36,40,45,50,B,The correct answer is 40.
"If f(x) = 6x + 6, find f(2).",15,25,18,13,C,The correct answer is 18.
A trader buys an item for ₦34 and sells it for ₦53. Find the profit.,23,21,19,18,C,The correct answer is 19.
Solve for x: 2x + 8 = 10,3,0,2,1,D,The correct answer is 1.
A trader buys an item for ₦39 and sells it for ₦46. Find the profit.,9,11,7,6,C,The correct answer is 7.
Find sin 45°.,1,√3,0,√2/2,D,The correct answer is √2/2.
"Find the mean of the numbers [15, 17, 28, 15, 16].",18.2,20.2,15.2,22.2,A,The correct answer is 18.2.
A trader buys an item for ₦45 and sells it for ₦63. Find the profit.,18,17,22,20,A,The correct answer is 18.
A trader buys an item for ₦27 and sells it for ₦43. Find the profit.,16,20,18,15,A,The correct answer is 16.
A trader buys an item for ₦27 and sells it for ₦42. Find the profit.,14,17,19,15,D,The correct answer is 15.
A rectangle has length 3 cm and width 9 cm. Find its perimeter.,24,14,30,20,A,The correct answer is 24.
"If |A|=40, |B|=19, and |A ∩ B|=9, find |A ∪ B|.",60,50,46,55,B,The correct answer is 50.
Find sin 30°.,1/2,0,√3,1,A,The correct answer is 1/2.
Find sin 60°.,1,√3,√3/2,0,C,The correct answer is √3/2.
A rectangle has length 14 cm and width 6 cm. Find its perimeter.,46,36,40,30,C,The correct answer is 40.
Find sin 60°.,1,0,√3/2,√3,C,The correct answer is √3/2.
A trader buys an item for ₦30 and sells it for ₦47. Find the profit.,16,17,19,21,B,The correct answer is 17.
A trader buys an item for ₦19 and sells it for ₦39. Find the profit.,19,22,20,24,C,The correct answer is 20.
"Find the mean of the numbers [7, 17, 13, 10, 19].",15.2,17.2,13.2,10.2,C,The correct answer is 13.2.
"If f(x) = 2x + 7, find f(1).",4,9,6,16,B,The correct answer is 9.
Find sin 30°.,1,0,1/2,√3,C,The correct answer is 1/2.
Find the area of a circle of radius 6 cm. (Take π = 22/7),101.14,123.14,113.14,118.14,C,The correct answer is 113.14.
"If f(x) = 5x + 9, find f(1).",9,14,21,11,B,The correct answer is 14.
A trader buys an item for ₦40 and sells it for ₦47. Find the profit.,11,9,6,7,D,The correct answer is 7.
"If f(x) = 6x + 3, find f(6).",39,46,36,34,A,The correct answer is 39.
"If |A|=33, |B|=19, and |A ∩ B|=5, find |A ∪ B|.",52,57,43,47,D,The correct answer is 47.
A trader buys an item for ₦29 and sells it for ₦36. Find the profit.,6,9,7,11,C,The correct answer is 7.
A rectangle has length 12 cm and width 7 cm. Find its perimeter.,44,34,38,28,C,The correct answer is 38.
A trader buys an item for ₦20 and sells it for ₦31. Find the profit.,13,15,10,11,D,The correct answer is 11.
Find the area of a circle of radius 7 cm. (Take π = 22/7),159.0,142.0,164.0,154.0,D,The correct answer is 154.0.
Find sin 60°.,1,0,√3/2,√3,C,The correct answer is √3/2.
"Find the mean of the numbers [4, 1, 7, 14, 16].",5.4,8.4,12.4,10.4,B,The correct answer is 8.4.
A trader buys an item for ₦48 and sells it for ₦62. Find the profit.,14,16,13,18,A,The correct answer is 14.
"If |A|=40, |B|=25, and |A ∩ B|=12, find |A ∪ B|.",63,53,58,49,B,The correct answer is 53.
Solve for x: 6x + 3 = 33,5,7,6,4,A,The correct answer is 5.
"Find the mean of the numbers [14, 21, 25, 4, 28].",15.399999999999999,18.4,22.4,20.4,B,The correct answer is 18.4.
"Find the mean of the numbers [15, 7, 2, 15, 2].",10.2,12.2,5.199999999999999,8.2,D,The correct answer is 8.2.
Find sin 30°.,1,1/2,√3,0,B,The correct answer is 1/2.
Find sin 60°.,1,√3/2,√3,0,B,The correct answer is √3/2.
"If f(x) = 4x + 4, find f(6).",28,35,23,25,A,The correct answer is 28.
Find the area of a circle of radius 4 cm. (Take π = 22/7),50.29,38.29,55.29,60.29,A,The correct answer is 50.29.
A trader buys an item for ₦29 and sells it for ₦47. Find the profit.,18,20,22,17,A,The correct answer is 18.
"Find the mean of the numbers [17, 17, 10, 15, 21].",18.0,16.0,13.0,20.0,B,The correct answer is 16.0.
A trader buys an item for ₦12 and sells it for ₦22. Find the profit.,10,9,12,14,A,The correct answer is 10.
Solve for x: 7x + 6 = 34,4,3,6,5,A,The correct answer is 4.
A rectangle has length 6 cm and width 8 cm. Find its perimeter.,24,18,34,28,D,The correct answer is 28.
A trader buys an item for ₦25 and sells it for ₦40. Find the profit.,17,15,19,14,B,The correct answer is 15.
"If |A|=24, |B|=28, and |A ∩ B|=14, find |A ∪ B|.",43,34,48,38,D,The correct answer is 38.
A trader buys an item for ₦15 and sells it for ₦24. Find the profit.,11,8,13,9,D,The correct answer is 9.
A trader buys an item for ₦28 and sells it for ₦38. Find the profit.,10,14,12,9,A,The correct answer is 10.
A rectangle has length 9 cm and width 9 cm. Find its perimeter.,26,32,42,36,D,The correct answer is 36.
Find sin 60°.,0,√3/2,√3,1,B,The correct answer is √3/2.
